發文ID,,文章ID,發文時間,更新時間,樓層,留言內容,按讚數,withNickname,是否被作者隱藏,meta,是否為發文者,性別,學校,reportReason,mediaMeta,是否隱藏,inReview,reportReasonText,isSuspiciousAccount,isModerator,doorplate,subCommentCount,edited,postAvatar,activityAvatar,verifiedBadge,memberType,enablePrivateMessage,個人主頁
205c3a32-3848-4184-909b-e806e16cb496,True,238246277,2022-03-01T16:59:16.490Z,2022-03-01T16:59:16.490Z,1,"真滴涼 
每個禮拜做他丟上去的作業就好了（不多）
還有找對組員就好了
98過",0.0,False,False,{},False,M,中原大學,,[],False,False,,False,False,1,2,False,,,False,,,
f4c9f48e-f4d7-4d46-be9f-d8a151a2ad95,True,238246277,2022-03-07T03:03:32.786Z,2022-03-07T03:03:32.786Z,2,請問一下 你怎麼知道是遠距🥺我找了好久都看不到老師有公告是遠距,0.0,False,False,{},False,F,中原大學,,[],False,False,,False,False,2,0,False,,,False,,,
d901661f-ef99-4cad-8122-7dfff2c9afbd,True,238245426,2022-03-01T14:19:48.749Z,2022-03-01T14:19:48.749Z,1,成績甜 死甜 可能整罐糖直接倒 但再甜也沒有妳甜吧,0.0,False,False,{},False,M,中原大學,,[],False,False,,False,False,1,0,False,,,False,,,
f9ffb925-8c2d-43ac-946d-bf62e46d2095,True,238245426,2022-03-01T14:25:44.885Z,2022-03-01T14:25:44.885Z,2,黃老師是我的最愛,0.0,False,False,{},False,M,中原大學,,[],False,False,,False,False,2,0,False,,,False,,,
e0d39a45-22d5-4918-932a-3fb5ba2a4c40,True,238237750,2022-02-28T17:57:11.609Z,2022-02-28T17:57:11.609Z,1,給分有差嗎不是都0學分？_？,0.0,False,False,{},False,M,中原大學,,[],False,False,,False,False,1,1,False,,,False,,,
9a932bb9-545c-48d0-973d-a7d282b1371d,True,238237750,2022-02-28T18:31:18.029Z,2022-02-28T18:31:18.029Z,2,體育要被當真的很難 完全不用擔心,1.0,False,False,{},False,M,中原大學,,[],False,False,,False,False,2,2,False,,,False,,,
9f79e2a9-0c16-4aca-90ea-b613d1f26ee7,True,238237750,2022-03-01T01:00:52.978Z,2022-03-01T01:00:52.978Z,3,上學期修這老師的課路過～上學期老師好像當滿多人的,3.0,False,False,{},False,M,中原大學,,[],False,False,,False,False,3,1,False,,,False,,,
581669b4-8161-4aa2-bbac-fcdab7508290,True,238237750,2022-03-01T01:58:37.368Z,2022-03-01T13:56:36.138Z,4,"上學期修過這門，應該算辛苦。
跑步：女生第一次測驗標準4.30，沒過的話要考第二次我記得標準是5.00，第三次沒有限制，跑完就好。
術科：打網球對牆打，女生打滿20顆60分，接下來慢慢累加上去；男生我記得是30顆及格，接下來慢慢累加上去。
上學期60分壓線過，跑步跑三次、考試無數次，缺席3次都有請假。
補充一下：我自己覺得老師人算蠻好的，只是很照規矩走",3.0,False,False,{},False,F,中原大學,,[],False,False,,False,False,4,1,False,,,False,,False,
114c9935-85b6-4bff-ae54-2db109d871b8,True,238237750,2022-03-01T06:11:12.275Z,2022-03-01T06:11:12.275Z,5,爛⋯⋯⋯,1.0,False,False,{},False,F,中原大學,,[],False,False,,False,False,5,1,False,,,False,,,
6b2a5648-ae8f-4720-9c79-39fa358f1951,True,238237750,2022-03-01T08:19:31.576Z,2022-03-01T08:19:31.576Z,6,考試多考幾次🥲🥲跑步多跑幾圈 剩下的聽天由命,1.0,False,False,{},False,F,中原大學,,[],False,False,,False,False,6,1,False,,,False,,,
c0715b71-7fa8-4c06-be97-a519d891ec96,True,238237750,2022-03-01T13:56:41.687Z,2022-03-01T13:59:10.626Z,7,,,False,True,{},True,,,,[],True,False,,False,False,7,0,False,,,False,,,
5a80e2b2-1619-4f68-a706-3a1ad5fb29f5,True,238227346,2022-02-27T19:53:30.007Z,2022-02-27T19:53:30.007Z,1,"我修過～
如果是認真想快速增進英文的可能不推
但我就是那種沒有很認真就只是想要固定接觸英文而已，所以我蠻喜歡的～
每堂老師會帶活動讓每個人都有口說的機會，然後會帶一些托福的題目，也有作業（錄音上傳）
整體我覺得偏輕鬆有趣！因為老師講話蠻好笑的😂",1.0,False,False,{},False,F,中原大學,,[],False,False,,False,False,1,1,False,,,False,,,
ff7c5223-f3b5-4f7f-97a4-7b18a9d860d5,True,238227346,2022-02-27T20:53:19.289Z,2022-02-27T20:53:19.289Z,2,"老師很認真 我是上讀寫～
他的上課方式通常都是輕鬆的
讓你會碰英文 會學到東西
但不是補習班那樣的強度",1.0,False,False,{},False,F,中原大學,,[],False,False,,False,False,2,2,False,,,False,,,
