發文ID,,文章ID,發文時間,更新時間,回覆樓層,留言內容,按讚數,withNickname,是否被作者隱藏,parentId,meta,是否為發文者,性別,學校,reportReason,mediaMeta,是否隱藏,inReview,reportReasonText,isSuspiciousAccount,isModerator,留言樓層,edited,postAvatar,activityAvatar,verifiedBadge,memberType,department,enablePrivateMessage
a5a8e10f-9989-4ff9-a548-0d797d0fc0d1,True,238246277,2022-03-02T01:20:43.987Z,2022-03-02T01:20:43.987Z,1,B1 請問你也是上線上課程嗎？,0,False,False,205c3a32-3848-4184-909b-e806e16cb496,{},False,F,中原大學,,[],False,False,,False,False,1-1,False,,,False,,,
7ded0856-5f0b-4d57-8724-909324a02a8e,False,238246277,2022-03-02T03:46:57.799Z,2022-03-02T03:46:57.799Z,2,B1 對 偶爾面授,0,False,False,205c3a32-3848-4184-909b-e806e16cb496,{},False,M,中原大學,,[],False,False,,False,False,1-2,False,,,False,,心理學系,
67b5bef0-50a6-489f-a48d-b9e962badcac,True,238237750,2022-02-28T18:40:04.855Z,2022-02-28T18:40:04.855Z,1,B1 想說有看到這樣的評價一起打下來,0,False,False,e0d39a45-22d5-4918-932a-3fb5ba2a4c40,{},False,F,中原大學,,[],False,False,,False,False,1-1,False,,,False,,,
a38298cd-12c6-47ec-89fc-c129cca9b46d,True,238237750,2022-02-28T18:40:19.916Z,2022-02-28T18:40:19.916Z,1,B2 好🥲謝謝你～,0,False,False,9a932bb9-545c-48d0-973d-a7d282b1371d,{},False,F,中原大學,,[],False,False,,False,False,2-1,False,,,False,,,
c7d2daec-0ec2-4bb9-9c8c-f502142741ca,True,238237750,2022-02-28T19:31:29.852Z,2022-02-28T19:31:29.852Z,2,B2-1 我記得有部分真的打不起來的同學老師給用報告來評分,1,False,False,9a932bb9-545c-48d0-973d-a7d282b1371d,{},False,M,中原大學,,[],False,False,,False,False,2-2,False,,,False,,,
7f02c11b-0aae-4ccc-8c99-90c1682af427,True,238237750,2022-03-01T13:54:06.648Z,2022-03-01T13:54:06.648Z,1,B3 暈⋯老師感覺很狠啊,0,False,False,9f79e2a9-0c16-4aca-90ea-b613d1f26ee7,{},False,F,中原大學,,[],False,False,,False,False,3-1,False,,,False,,,
ada9506e-bfd6-4a0b-aaa2-21dcdb4d151f,True,238237750,2022-03-01T13:57:40.570Z,2022-03-01T13:57:40.570Z,1,"B4 辛苦外還要擔心會不會過😭
我可能10顆都有困難（認真",0,False,False,581669b4-8161-4aa2-bbac-fcdab7508290,{},False,F,中原大學,,[],False,False,,False,False,4-1,False,,,False,,,
984c4247-e17e-4aac-a499-8da5efdd9d7b,True,238237750,2022-03-01T13:58:42.153Z,2022-03-01T13:58:42.153Z,1,B5 哭 適合會打的同學,0,False,False,114c9935-85b6-4bff-ae54-2db109d871b8,{},False,F,中原大學,,[],False,False,,False,False,5-1,False,,,False,,,
8cac7a62-9998-48a6-ba14-85f94551b6bc,True,238237750,2022-03-01T14:00:59.912Z,2022-03-01T14:00:59.912Z,1,"B6 真的盡力而為😵‍💫
我還是修別的好了阿哈..哈…",0,False,False,6b2a5648-ae8f-4720-9c79-39fa358f1951,{},False,F,中原大學,,[],False,False,,False,False,6-1,False,,,False,,,
cfcacc50-2fe8-4012-9406-492bf3a1d78e,True,238227346,2022-03-01T12:59:37.401Z,2022-03-01T12:59:37.401Z,1,"B1 啊啊我的目的跟妳一樣~~~
那我可以放心地選了🥺謝謝妳！",0,False,False,5a80e2b2-1619-4f68-a706-3a1ad5fb29f5,{},False,F,中原大學,,[],False,False,,False,False,1-1,False,,,False,,,
