發文ID,,文章ID,發文時間,更新時間,樓層,留言內容,按讚數,withNickname,是否被作者隱藏,meta,是否為發文者,性別,學校,reportReason,mediaMeta,currentMember,是否隱藏,inReview,reportReasonText,isSuspiciousAccount,isModerator,doorplate,subCommentCount,enablePrivateMessage,edited,postAvatar,activityAvatar,verifiedBadge,memberType,個人主頁
9f4b97c9-b261-4c13-86a1-a144ad2a913a,True,238378704,2022-03-17T09:09:18.409Z,2022-03-17T09:09:28.546Z,1,沒記錯的話，這學期從開學上到現在，他好像還沒有點過名？,0.0,False,False,{},False,F,中原大學,,[],False,False,False,,False,False,1,4.0,False,False,,,False,,
3a2a2135-16d5-415f-9467-051d685de3a1,True,238378704,2022-03-17T09:30:51.076Z,2022-03-17T09:30:51.076Z,2,上學期修過都是下課前老師一個一個點名，一整個學期好像只點過兩三次,2.0,False,False,{},False,F,中原大學,,[],False,False,False,,False,False,2,2.0,,False,,,False,,
e74802aa-8e1e-47ad-8346-58d0a03f5be0,True,238378704,2022-03-17T09:53:14.788Z,2022-03-17T09:53:14.788Z,3,上學期修都是下課前點喔！,0.0,False,False,{},False,F,中原大學,,[],False,False,False,,False,False,3,0.0,,False,,,False,,
573e9381-036e-44ab-9ab0-52e7f0487258,True,238378704,2022-03-17T10:35:11.233Z,2022-03-17T10:35:11.233Z,4,你有事情想補的話可以去找他拜託，可以上別的時段的課程,0.0,False,False,{},False,M,中原大學,,[],False,False,False,,False,False,4,0.0,,False,,,False,,
6dd8a121-5a5d-487a-b1c2-c74c05cb33fd,True,238378704,2022-03-17T10:41:58.066Z,2022-03-17T10:41:58.066Z,5,"他連開三堂你可以挑一堂上，記得加他臉書好友^_^不知道他會不會回你哈哈哈
老師超棒，不久前的貼文讓我痛哭流涕啊🥺",5.0,False,False,{},False,M,中原大學,,[],False,False,False,,False,False,5,1.0,,False,,,False,,
c070debc-233a-480e-8ec4-e5a1ef4db265,True,238378704,2022-03-17T11:42:16.840Z,2022-03-17T11:42:16.840Z,6,我是第一節課的，老師今天下課有點名！,0.0,False,False,{},False,M,中原大學,,[],False,False,False,,False,False,6,1.0,,False,,,False,,
bf55bd57-3096-43f4-ae91-6038490b975f,True,238378704,2022-03-17T11:50:50.910Z,2022-03-17T11:50:50.910Z,7,愛慘,1.0,False,False,{},False,F,中原大學,,[],False,False,False,,False,False,7,0.0,,False,,,False,,
8ac5027c-056d-4615-9fcf-dd2de587f22b,True,238378704,2022-03-17T11:56:18.723Z,2022-03-17T11:56:28.800Z,8,今天第一次點名！下課前點的,0.0,False,False,{},False,F,中原大學,,[],False,False,False,,False,False,8,0.0,False,False,,,False,,
942f2e49-22b9-408d-9157-167f22409aef,True,238375638,2022-03-17T03:05:42.232Z,2022-03-17T03:06:10.997Z,1,,,False,True,{},False,,,,[],False,True,False,,False,False,1,0.0,False,False,,,False,,
63fde484-0095-42a4-8938-5fc430555bdb,True,238375638,2022-03-17T05:54:12.440Z,2022-03-17T05:54:12.440Z,2,"當天上課已經變成宗教的東西了～
https://i.imgur.com/qu7JxHr.jpg
https://i.imgur.com/EN6Hztm.jpg
話說我完全忘記今天要去校史室了啊啊🥲同學大感謝你欸",1.0,False,False,{},False,M,中原大學,,"[{'id': 'ef1bfde5-409b-47a0-b967-5381df3ca87f', 'url': 'https://i.imgur.com/qu7JxHrl.jpg', 'normalizedUrl': 'https://i.imgur.com/qu7JxHrl.jpg', 'thumbnail': 'https://i.imgur.com/qu7JxHrl.jpg', 'type': 'image/thumbnail', 'tags': [], 'createdAt': '2022-03-17T05:54:12.440Z', 'updatedAt': '2022-03-17T05:54:12.440Z', 'width': 1125, 'height': 2000}, {'id': 'ef1bfde5-409b-47a0-b967-5381df3ca87f', 'url': 'https://i.imgur.com/qu7JxHr.jpg', 'normalizedUrl': 'https://imgur.com/qu7JxHr', 'thumbnail': 'https://i.imgur.com/qu7JxHrl.jpg', 'type': 'image/imgur', 'tags': [], 'createdAt': '2022-03-17T05:54:12.440Z', 'updatedAt': '2022-03-17T05:54:12.440Z', 'width': 1125, 'height': 2000}, {'id': 'ac20ed65-d09b-4388-ac59-79ae173d93ef', 'url': 'https://i.imgur.com/EN6Hztm.jpg', 'normalizedUrl': 'https://imgur.com/EN6Hztm', 'thumbnail': 'https://i.imgur.com/EN6Hztml.jpg', 'type': 'image/imgur', 'tags': [], 'createdAt': '2022-03-17T05:54:12.440Z', 'updatedAt': '2022-03-17T05:54:12.440Z', 'width': 2000, 'height': 1500}]",False,False,False,,False,False,2,5.0,,False,,,False,,
